id,class_id,status,name_kr,name_en,origin_kr,look_kr,look_hex,battle_kr,description_kr
KNIGHT-P5,knight,proposed,팔라딘,Paladin,성기사단 (전승 원형 · 오라의 기사 계보),판금 계열 — 순백 판금 갑주 · 닫힌 투구,#c8901e,빛의 성벽 — 오라 하나로 요새 수비대 전원을 지켜낸 공방전,성기사단의 서약을 받은 기사로 검보다 맹세를 먼저 배웠다. 그가 두르는 빛은 자신이 아니라 곁에 선 이들을 감싸 — 검을 마주치기도 전에 대열 전체가 그 축복 아래 있었다. 언데드 군세가 요새 성벽을 넘으려던 밤 그가 가장 앞줄에 서 있는 동안 뒤에 선 수비대는 단 한 명도 쓰러지지 않았다. 새벽이 밝을 때까지 무너진 것은 성벽뿐 대열은 끝까지 온전했다.
MAGE-P1,mage,proposed,소서리스,Sorceress,마탑 (전승 원형 · 원소 마법사 계보),로브 계열 — 어깨가 드러난 얇은 로브 · 맨목·맨머리,#4a2a5a,폭풍의 탑 — 홀로 마군 진격을 사흘 동안 묶어놓은 농성전,마탑에서 나고 자라 불·냉기·벼락 세 원소를 다루는 법을 어릴 때부터 익혔다. 마군이 변경 요새를 덮치던 날 처음 실전에 나서 벼락으로 선봉을 흩고 냉기로 후속을 묶은 뒤 불로 전부 태워버렸다. 지원군이 사흘 만에 도착했을 때 요새는 그대로였고 마군은 재만 남아 있었다. 그날 이후 세 원소를 한 몸에 두른 마법사는 이름 대신 그저 '소서리스'라 불린다.
MAGE-P2,mage,proposed,제우스,Zeus,그리스 신화 (올림포스 삼형제),로브 계열 — 맨몸에 걸친 짧은 튜닉 · 맨목·맨머리,#c8901e,티타노마키아 — 티탄족과의 10년 전쟁,크로노스의 막내아들로 태어나자마자 아버지에게 삼켜질 위기를 피해 숨어 자랐다. 장성한 뒤 형제들을 구해내 티탄족과 10년에 걸친 전쟁 끝에 아버지의 시대를 끝장냈다. 승리 후 세계를 삼형제가 나눠 가지며 그는 하늘과 번개를 차지해 올림포스의 왕이 됐다. 손에 쥔 벼락 하나로 신들조차 함부로 거스르지 못하는 존재가 됐다.
MAGE-P3,mage,proposed,포세이돈,Poseidon,그리스 신화 (올림포스 삼형제),로브 계열 — 짙은 청색 로브 · 맨목·맨머리,#2a3a7a,삼형제의 제비뽑기 — 바다를 차지한 순간,티탄족과의 전쟁이 끝난 뒤 형제들과 세계를 나눠 가질 때 제비뽑기로 바다를 얻었다. 화를 내면 파도가 산더미처럼 일고 바다 전체가 얼어붙어 배가 그대로 갇혔다는 전설이 뱃사람들 사이에 전해진다. 삼지창을 내리치면 땅이 갈라지고 물길이 얼음벽으로 바뀌어 어떤 함대도 다시 움직이지 못했다. 형 제우스 다음가는 힘을 가진 자로 대접받았다.
MAGE-P4,mage,proposed,하데스,Hades,그리스 신화 (올림포스 삼형제),로브 계열 — 검은 로브 · 맨목·맨머리,#8a2a2a,삼형제의 제비뽑기 — 지하세계를 차지한 순간,삼형제 중 가장 조용히 지내지만 가장 두려움을 사는 신. 제비뽑기로 지하세계를 맡게 된 뒤 죽은 자들의 영혼을 다스리며 그 문턱을 불길로 둘러쌌다. 산 자가 함부로 내려오면 지하의 강 전체가 화염으로 뒤바뀌어 되돌아갈 길을 태워버렸다는 이야기가 전해진다. 형들만큼 화려하진 않지만 아무도 그의 영역에서 맞서 싸우려 하지 않았다.
MAGE-P5,mage,proposed,노스트라다무스,Nostradamus,프랑스 (실존 · 16세기),후드 계열 — 긴 수염 · 단색 로브 · 맨목,#6b6b3a,앙리 2세의 죽음을 적중시킨 사두시 (1559),프랑스의 의사이자 점성가로 흑사병이 돌던 시기 도시를 옮겨 다니며 환자를 치료하다가 예언서를 쓰기 시작했다. 사행시 900여 편에 미래를 암호처럼 숨겨 「예언집」이라는 책으로 묶어냈는데 그중 한 구절이 훗날 앙리 2세가 마상시합에서 눈을 창에 찔려 죽는 사고를 정확히 짚어낸 것처럼 읽혀 유럽 전역에 이름을 떨쳤다. 그 뒤로 그의 사행시는 전쟁과 재앙이 있을 때마다 다시 해석되며 500년째 읽히고 있다.
MAGE-P6,mage,proposed,오딘,Odin,북유럽 신화,후드+수정구 계열 — 안대(잃은 눈) · 긴 회색 수염 (기존 앵커 mage_orb_eyepatch와 도상 일치),#7d8a6a,라그나로크 — 펜리르와 맞선 신들의 최후 전투,지혜를 얻기 위해 미미르의 샘에 한쪽 눈을 대가로 바치고 룬 문자의 비밀을 깨치려 아흐레 밤낮을 나무에 매달려 스스로를 제물로 바쳤다. 아스가르드의 왕이자 전쟁과 지혜와 광기를 함께 다스리는 신으로 전사자의 절반을 발할라로 거둬들여 최후의 날을 준비했다. 그 최후는 라그나로크 — 거대한 늑대 펜리르와 맞붙어 쓰러뜨리지만 자신도 그 자리에서 함께 숨을 거둔다. 세상의 끝을 알면서도 끝까지 맞서 싸운 신들의 왕.
MAGE-P7,mage,proposed,간달프,Gandalf,이스타리 (가운데땅 · 회색의 마법사),로브 계열 — 뾰족한 회색 모자 · 긴 흰 수염 · 맨목,#4a5a3a,카잣둠 다리 — 발록과 맞선 '너는 지나갈 수 없다',가운데땅에 파견된 이스타리 중 하나로 오랜 세월 떠돌이 회색 마법사로 살며 작은 이들 곁에서 어둠에 맞설 이들을 몰래 이끌었다. 모리아 광산 깊숙한 곳에서 고대의 악 발록과 마주쳤을 때 동료들을 먼저 건너보내고 홀로 다리 위에 서서 '너는 지나갈 수 없다'는 한마디로 길을 막았다. 발록과 함께 심연으로 떨어졌지만 죽음 너머에서 다시 돌아와 흰 마법사로 거듭났다. 그 뒤로 반지전쟁을 승리로 이끄는 데 누구보다 큰 몫을 했다.
ARCHER-P1,archer,proposed,로빈 후드,Robin Hood,잉글랜드 전설,후드+화살통 계열 — 화살 3발 화살통 (기존 앵커 archer_hood_black),#4a5a3a,노팅엄 궁수대회,셔우드 숲에 숨어 폭정에 맞선 잉글랜드 전설의 의적. 활 하나로 왕의 사슴을 쏘고 부패한 귀족의 금고를 털어 가난한 이들에게 돌렸다. 노팅엄 궁수대회에 정체를 숨기고 참가해 최고의 궁수임을 증명한 일화가 가장 유명하다.
ARCHER-P2,archer,proposed,주몽,Jumong,고구려 건국 신화,맨머리 상투 계열 — 화살통 · 후드 대신 맨머리로 궁수 내 차별화,#8f855c,고구려 건국전쟁,부여에서 태어나 어릴 적부터 활을 잘 쏘아 이름 자체가 '활 잘 쏘는 사람'을 뜻했다. 추격을 피해 남으로 내려와 졸본에 나라를 세우고 건국 전쟁을 승리로 이끈다. 화살 한 대로 나라의 운명을 겨눈 동북아 건국 신화의 주인공.
ARCHER-P3,archer,proposed,아마존,Amazon,아마조네스 부족 (전승 원형 · 궁기병 계보),맨머리 계열 — 어깨를 드러낸 가벼운 가죽 갑주 · 화살통 · 맨목·맨머리,#a04a20,테르모돈 강 전투 — 침략자를 몰아낸 방어전,말 위에서 활을 쏘는 법을 걷는 법보다 먼저 배우는 부족에서 태어났다. 테르모돈 강 유역을 침략하려던 군대를 맞아 부족 전체가 말에 올라 화살비를 퍼부으며 단 하루 만에 물러가게 만들었다. 남자들의 전쟁 방식과 다르다는 이유로 오랫동안 전설 취급을 받았지만 그 활 솜씨만큼은 신화가 아니라 실전에서 증명됐다. 아마조네스라는 이름은 이후 '말을 탄 여전사'의 대명사가 됐다.
ARCHER-P4,archer,proposed,레인저,Ranger,변경 순찰대 (전승 원형 · 궁수 전직 계보),후드 계열 — 짙은 올리브 후드 · 화살통 (로빈 후드와 색으로 차별화),#3c3f24,긴 국경 — 혼자 겨울 순찰로를 지켜낸 이야기,이름도 소속도 남기지 않은 채 변경의 숲과 국경을 오가며 순찰하는 궁수들의 전승. 겨울이면 초소가 비고 병력이 줄어드는 그 틈을 노려 침입자들이 몰려들었지만 홀로 국경을 오가며 화살로 하나씩 되돌려 보냈다는 이야기가 여러 초소에 전해진다. 정규군도 아니고 얼굴이 알려지지도 않았지만 그가 지나간 길에는 항상 발자국 하나만 남았다고 한다. 그래서 사람들은 그를 그냥 '레인저'라 부른다.
ARCHER-P5,archer,proposed,아르테미스,Artemis,그리스 신화,맨머리 계열 — 짧게 묶은 머리 · 초승달 머리띠 · 화살통,#2a3a7a,칼리돈의 멧돼지 — 오이네우스를 벌하려 보낸 사냥,제우스와 레토 사이에서 쌍둥이로 태어나 태어나자마자 어머니의 다음 출산(오빠 아폴론)을 도왔다는 조숙한 사냥의 여신. 숲과 짐승을 다스리며 순결과 독립을 맹세하고 님프들과 함께 영원히 사냥터를 누볐다. 오이네우스 왕이 제물을 빠뜨리자 분노해 칼리돈 땅에 거대한 멧돼지를 풀어놓았고 그리스 전역의 영웅들이 모여든 사냥이 신화 속 가장 유명한 합동 수렵전이 됐다. 활을 든 여신의 뜻 하나가 한 왕국 전체를 뒤흔든 이야기다.
ARCHER-P6,archer,proposed,빌헬름 텔,William Tell,스위스 전설,챙모자 계열 — 알파인 챙모자 · 화살통,#7d8a6a,사과 쏘기 — 합스부르크 항쟁,스위스의 사냥꾼으로 합스부르크 총독의 명령에 불복하자 제 아들 머리 위 사과를 활로 맞히라는 형벌을 받는다. 단 한 발로 사과만을 쪼개며 목숨과 아들을 함께 지켰고 그 사건이 스위스 독립운동에 불을 붙였다. 활 한 발이 폭정을 끝낸 전설로 남았다.
ARCHER-P7,archer,proposed,후예,Hou Yi,중국 신화,맨머리 계열 — 사냥꾼 차림 · 화살통 · 맨목,#8a2a2a,열 개의 태양 — 아홉을 쏘아 떨어뜨려 대지를 구한 날,하늘에 태양 열 개가 한꺼번에 떠올라 강물이 마르고 대지가 타들어가던 시절 요임금의 명을 받고 나선 활의 명수. 신궁을 당겨 하늘 높이 아홉 발을 쏘아 태양을 하나씩 떨어뜨렸고 마지막 하나만 남겨 세상에 낮과 밤을 되돌려줬다. 그 공으로 서왕모에게서 불사약을 받았지만 아내 항아가 그 약을 삼키고 달로 떠나버리며 정작 자신은 인간으로 남는다. 활로 세상을 구하고도 가장 가까운 사람을 잃은 신화 속 궁수.
PRIEST-P1,priest,proposed,화타,Hua Tuo,중국 (삼국시대 · 실존),수단 계열의 동양식 변형 — 장포 · 작은 약낭,#7d8a6a,관우 치료 — 삼국지 일화,삼국시대를 대표하는 명의로 마취약 '마비산'을 처음 썼다고 전해진다. 관우가 독화살에 맞아 팔이 썩어가자 뼈를 깎아 독을 긁어내는 수술을 태연히 해냈다는 일화가 유명하다. 전장의 승패보다 전장에서 스러진 사람을 살리는 데 평생을 바친 의술의 상징.
PRIEST-P2,priest,proposed,닥터 슈나벨,Doctor Schnabel von Rom,역병 의사 (전승 원형 · 1656년 로마 판화),역병 의사 계열 — 검은 챙모자 · 흰 부리 가면 (기존 앵커 priest_plague_hat),#1a1a1e,1656년 로마 대역병 — 도시 전체를 돌며 환자를 돌본 나날,1656년 로마를 휩쓴 역병 속에서 그려진 한 장의 판화가 그의 전부다 — 새의 부리처럼 튀어나온 가면 속에 향료와 마른 꽃을 채워 넣어 나쁜 공기를 걸러낸다고 믿었다. 검은 챙모자와 긴 로브 손에 쥔 지팡이로 환자를 건드리지 않고 진찰하며 도시를 돌았다. 실존 인물이라기보다 그 시대 모든 역병 의사를 하나로 뭉친 상징이지만 그 가면 하나가 이후 몇 세기 동안 '역병과 맞선 자'의 얼굴이 됐다. 환자를 고치기보다 병을 막아내는 것 자체가 그의 전쟁이었다.
ASSASSIN-P1,assassin,proposed,하사니 사바흐,Hassan-i Sabbah,페르시아 (실존 · 11세기),후드 계열 — 얼굴을 깊게 가린 두건 · 맨목,#1a1a1e,알라무트 결성,페르시아 알라무트 산성을 근거지로 암살단 '하샤신'을 조직한 지도자. 정면 전투 대신 단 한 명을 정확히 노려 제거하는 방식으로 훨씬 강한 세력들을 굴복시켰다. '암살자(assassin)'라는 말 자체가 그의 교단 이름에서 나왔다.
ASSASSIN-P2,assassin,proposed,형가,Jing Ke,중국 (전국시대 · 실존),맨머리 계열 — 동양식 장포 · 맨목,#2c3a52,진왕 암살 시도 (BC227),전국시대 말 연나라의 자객으로 진왕(훗날 진시황)을 암살하러 홀로 궁으로 들어갔다. 지도를 바치는 척 접근해 소매 속 비수를 뽑았지만 단 한 뼘 차이로 실패하고 그 자리에서 죽는다. 실패했음에도 가장 유명한 자객으로 역사에 이름을 새겼다.
ASSASSIN-P3,assassin,proposed,핫토리 한조,Hattori Hanzo,일본 (전국시대 · 실존),후드(닌자 두건) 계열 — 얼굴 아래쪽을 가린 천 · 맨목,#3c3f24,혼노지의 변 — 이가 넘기 (1582),도쿠가와 이에야스를 그림자처럼 지킨 이가 출신의 닌자 대장. 혼노지의 변으로 오다 노부나가가 죽던 날 이에야스를 사카이에서 영지까지 은밀히 탈출시킨 '이가 넘기'를 지휘했다. 정면 승부 없이 주군의 목숨을 지켜낸 것이 그의 가장 큰 전공이다.
ASSASSIN-P4,assassin,proposed,브루투스,Brutus,로마 (실존 · BC1세기),토가 계열 — 단순한 천 · 자주색 줄무늬 한 줄 · 맨목,#4a2a5a,카이사르 암살 (BC44),카이사르가 가장 아끼던 부하 중 하나였던 로마 원로원 의원. 공화정이 무너진다는 신념으로 원로원 회의장에서 동료들과 함께 카이사르를 스물세 번 찔러 죽였다. '브루투스 너마저'라는 말로 남을 만큼 가장 가까운 사람이 가장 치명적인 칼이 될 수 있음을 보여줬다.
ASSASSIN-P5,assassin,proposed,모치즈키 치요메,Mochizuki Chiyome,일본 (전국시대 · 실존),두건(무녀) 계열 — 순례하는 무녀 차림 · 맨목,#c8901e,쿠노이치 정보망 조직,센고쿠 시대 다케다 신겐의 후원 아래 무녀와 고아 소녀들을 모아 비밀 정보망 '쿠노이치'를 조직했다. 순례하는 무녀로 위장시켜 적국 곳곳에 심어 정보 수집과 암살을 동시에 수행하게 했다. 검이 아니라 조직으로 그림자 전쟁을 설계한 여성 첩보 수장.
NECRO-P1,necromancer,proposed,엔돌의 여인,Witch of Endor,구약성서,후드 계열 — 늘어진 천 · 맨목,#2a3a7a,길보아 전투 전야,사울 왕이 전쟁 전날 금지된 술법에 의지해 찾아간 엔돌의 여인. 죽은 예언자 사무엘의 영혼을 불러내 길보아 전투의 패배와 사울의 죽음을 미리 전한다. 가장 오래된 소환술사로 산 자가 죽은 자의 경고조차 피하지 못했음을 보여준다.
NECRO-P2,necromancer,proposed,솔로몬,King Solomon,이스라엘 전설,로브 계열 — 장식 없는 머리띠 · 화려한 천 · 맨목,#c8901e,성전 건축 — 72령 전설,이스라엘의 지혜로운 왕이었지만 전설 속에서는 인장이 새겨진 반지로 72명의 영을 부려 성전을 짓게 했다는 이야기로 더 유명하다. 힘이 아니라 이름과 인장으로 존재를 구속하는 방식이 후대 소환술 전통의 원형이 됐다. 지혜와 술법의 경계가 겹치는 왕.
NECRO-P3,necromancer,proposed,강태공,Jiang Ziya,중국 (「봉신연의」),도사 두건 계열 — 단순 도포 · 맨목,#2c3a52,목야 전투,은나라를 무너뜨린 주나라의 군사로 소설 「봉신연의」에서는 신선들에게 병법을 배우고 영혼과 신장을 부려 목야 전투를 승리로 이끈다. 낚싯대를 든 은둔자로 지내다 문왕에게 발탁된 것으로도 유명하다. 전설 속 그는 산 자의 군대와 죽은 자의 힘을 함께 지휘한 최초의 책사다.
NECRO-P4,necromancer,proposed,파우스트,Faust,독일 전설/문학,학자 로브 계열 — 맨머리 · 맨목,#1a1a1e,메피스토펠레스와의 계약,지식의 끝에 다다랐다고 믿었지만 채워지지 않는 학자로 악마 메피스토펠레스를 불러내 영혼을 걸고 계약을 맺는다. 소환한 힘으로 젊음과 권력 심지어 사랑까지 얻었지만 그 대가는 언제나 정해져 있었다. 부르는 힘이 강할수록 치를 대가도 크다는 것을 보여준 이름.
NECRO-P5,necromancer,proposed,바롱 사메디,Baron Samedi,아이티 부두 신화,로브 계열 — 정장식 톱햇 · 맨목,#4a2a5a,죽음의 문 수호,아이티 부두교에서 죽은 자들의 문을 지키는 로아(정령)로 묘지의 첫 무덤에 산다고 전해진다. 산 자와 죽은 자 사이를 오가며 죽음을 관장하지만 동시에 병자를 살리는 힘도 함께 가진 이중적 존재다. 실크햇과 담배로 상징되는 죽음을 두려워하지 않고 오히려 놀리는 신.
